Word	Annotation	SentenceBit	BoS	EoS
message	0	a message that	False	False
disease	0	of disease for	False	False
waiting	0	hate waiting a	False	False
gleevec	0	on Gleevec for	False	False
gleevec	0	take gleevec with	False	False
hormone	0	sleep hormone ,	False	False
prayers	0	and prayers are	False	False
harness	0	to harness the	False	False
studies	0	recent studies!	False	False
surgery	0	until surgery.	False	False
seeking	0	* Seeking 4	False	False
working	0	are working.	False	False
showed	0	scans showed that	False	False
eating	0	normal eating and	False	False
priced	0	lower priced brands	False	False
period	0	waiting period.	False	False
health	0	like health apps	False	False
pocket	0	of pocket.	False	False
number	0	phone number ,	False	False
thinks	0	doctor thinks Sutent	False	False
cancer	0	of cancer.	False	False
stable	0	now stable for	False	False
shrunk	0	tumors shrunk after	False	False
bottle	0	to bottle it	False	False
obtain	0	to obtain a	False	False
cramps	0	leg cramps.	False	False
behave	0	to behave more	False	False
sister	0	your sister only	False	False
boston	0	in Boston ,	False	False
months	0	3 months and	False	False
member	0	family member or	False	False
before	0	like before ,	False	False
itself	0	test itself that	False	False
worked	0	radiation worked.	False	False
dudley	0	MD Dudley West	False	False
should	0	I should get	False	False
enough	0	drink enough fluid	False	False
easier	0	sometimes easier to	False	False
london	0	Hospital London ,	False	False
spleen	0	my spleen and	False	False
stayed	0	have stayed 5	False	False
should	0	magnesium should be	False	False
tumors	0	the tumors are	False	False
doctor	0	ok doctor are	False	False
health	0	other health factors	False	False
relief	0	a relief for	False	False
doctor	0	my doctor put	False	False
strong	0	Stay strong!	False	False
mutant	0	PDGFRA mutant GISTs	False	False
better	0	gets better during	False	False
record	0	a record of	False	False
report	0	people report how	False	False
thinks	0	He thinks they	False	False
doctor	0	old doctor took	False	False
doctor	0	the doctor (	False	False
things	0	certain things ,	False	False
number	0	phone number.	False	False
cancer	0	of Cancer (	False	False
nearly	0	for nearly 5	False	False
others	0	like others ,	False	False
looked	0	I looked like	False	False
sutent	0	On Sutent now	False	False
friend	0	my friend!	False	False
months	0	two months to	False	False
listen	0	not listen and	False	False
oncologist	0	My oncologist will	False	False
grapefruit	0	"\"" grapefruit ''"	False	False
washington	0	in Washington )	False	False
juravinski	0	at Juravinski center	False	False
understand	0	to understand alittle	False	False
specialist	0	the specialist and	False	False
disruption	0	a disruption of	False	False
everynight	0	it everynight when	False	False
penetrated	0	and penetrated elsewhere	False	False
discussion	0	the discussion.	False	False
interested	0	particularly interested in	False	False
dedication	0	your dedication!	False	False
monitoring	0	close monitoring of	False	False
eventually	0	I eventually adjust	False	False
additional	0	the additional information	False	False
completely	0	will completely change	False	False
considered	0	are considered to	False	False
accounting	0	my accounting.	False	False
eventually	0	that eventually on	False	False
specialist	0	my specialist said	False	False
california	0	, California 92036	False	False
specialist	0	the specialist sarcoma	False	False
originally	0	was originally told	False	False
absolutely	0	is absolutely wonderful	False	False
interested	0	be interested in	False	False
understand	0	so understand what	False	False
experience	0	with experience in	False	False
oncologist	0	current oncologist and	False	False
medication	0	the medication.	False	False
metastases	0	with metastases to	False	False
on	0	easier on me	False	False
be	0	to be in	False	False
me	0	gave me Ensure	False	False
so	0	email so have	False	False
at	0	group at -URL-	False	False
of	0	area of the	False	False
is	0	This is my	False	False
in	0	expect in the	False	False
at	0	lot at first	False	False
so	0	, so no	False	False
if	0	. If I	False	False
is	0	it is difficult	False	False
no	0	centers no doctors	False	False
in	0	GIST in Texas	False	False
in	0	are in the	False	False
of	0	worthy of being	False	False
my	0	for my hemoglobin	False	False
hi	0	Hi people	True	False
is	0	there is something	False	False
to	0	want to be	False	False
energetic	0	very energetic hobbies	False	False
influenza	0	seasonal influenza vaccine	False	False
bariatric	0	top bariatric surgeon	False	False
diagnosed	0	was diagnosed (	False	False
intestine	0	small intestine w/	False	False
important	0	Its important to	False	False
diagnosis	0	after diagnosis.	False	False
different	0	is different especially	False	False
esophagus	0	my esophagus in	False	False
wondering	0	. wondering if	False	False
pathology	0	my pathology report	False	False
potassium	0	of potassium on	False	False
diagnosis	0	the diagnosis.	False	False
miserable	0	it miserable just	False	False
switching	0	up switching just	False	False
wonderful	0	is wonderful at	False	False
surviving	0	of surviving for	False	False
permanent	0	a permanent part	False	False
increased	0	or increased side	False	False
following	0	Miami following Dr.	False	False
sheffield	0	Hospital Sheffield ,	False	False
diagnosed	0	being diagnosed.	False	False
emergency	0	the emergency room	False	False
different	0	is different from	False	False
wonderful	0	a wonderful day	False	False
difficult	0	is difficult to	False	False
knowledge	0	us knowledge ,	False	False
operating	0	of operating immediately	False	False
hope	0	I hope you	False	False
have	0	now have 9	False	False
scan	0	ct scan for	False	False
sure	0	Not sure what	False	False
look	0	to look at	False	False
some	0	, some ,	False	False
real	0	just real food	False	False
this	0	in this article	False	False
fact	0	the fact that	False	False
help	0	to help a	False	False
good	0	. GOOD FOR	False	False
when	0	from when I	False	False
hard	0	is hard.	False	False
gist	0	with GIST since	False	False
with	0	AGITG with the	False	False
find	0	I find it	False	False
find	0	can find the	False	False
work	0	not work?	False	False
have	0	and have been	False	False
fine	0	are fine.	False	False
feet	0	my feet.	False	False
oops	0	oops.	True	False
this	0	Exxons this week	False	False
home	0	at home for	False	False
care	0	with care care	False	False
type	0	spindle type ,	False	False
they	0	when they do	False	False
bras	0	custom bras (	False	False
this	0	in this world	False	False
also	0	am also on	False	False
small	0	our small local	False	False
cured	0	probably cured you	False	False
years	0	for years.	False	False
think	0	I think it	False	False
think	0	I think i	False	False
which	0	, which does	False	False
every	0	and every thing	False	False
bring	0	to bring more	False	False
might	0	you might not	False	False
wrong	0	was wrong in	False	False
group	0	facebook group but	False	False
cream	0	self-tanning cream from	False	False
gives	0	who gives you	False	False
helps	0	It helps me	False	False
water	0	of water and	False	False
after	0	well after the	False	False
carry	0	even carry mutations	False	False
group	0	Raft Group also	False	False
would	0	he would not	False	False
today	0	surprise today.	False	False
bleed	0	intestinal bleed bonine	False	False
blood	0	, blood tests	False	False
weeks	0	6 weeks (	False	False
minor	0	only minor effects	False	False
throw	0	can throw some	False	False
hands	0	surgeons hands be	False	False
think	0	I think the	False	False
years	0	14 years.	False	False
bless	0	god bless ,	False	False
doing	0	.im doing pretty	False	False
upper	0	an upper endoscopy	False	False
study	0	a study has	False	False
drugs	0	with drugs and	False	False
makes	0	It makes me	False	False
merry	0	! Merry Christmas	False	False
large	0	very large Cancer	False	False
paper	0	the paper :	False	False
heart	0	, heart started	False	False
you	0	suggest you consult	False	False
new	0	best new drug	False	False
are	0	effects are not	False	False
not	0	do not say	False	False
not	0	cannot drive	False	False
you	0	. You can	False	False
the	0	on the regorafenib	False	False
and	0	spleen and the	False	False
now	0	, now continue	False	False
see	0	you see it	False	False
the	0	for the second	False	False
use	0	i use a	False	False
fit	0	was fit ,	False	False
god	0	, God wiling	False	False
oil	0	hemp oil concentrate	False	False
his	0	had his 2yr4mo	False	False
now	0	is now in	False	False
bed	0	to bed when	False	False
the	0	take the Gleevec	False	False
had	0	I had been	False	False
and	0	back and behold	False	False
and	0	Dad and thanking	False	False
eat	0	just eat in	False	False
and	0	sutent and has	False	False
but	0	. But then	False	False
theoretically	0	is theoretically value	False	False
acetaminophen	0	No Acetaminophen.	False	False
circumstances	0	your circumstances ,	False	False
dehydrogenase	0	Succinate Dehydrogenase (	False	False
encouragement	0	some encouragement.	False	False
conversations	0	private conversations or	False	False
post-surgical	0	GIST-free post-surgical experience	False	False
international	0	Support International website	False	False
conversations	0	network conversations about	False	False
knowledgeable	0	are knowledgeable and	False	False
chemotherapy	0	the chemotherapy pills	False	False
consultation	0	a consultation at	False	False
specifically	0	somebody specifically with	False	False
chemotherapy	0	traditional chemotherapy for	False	False
side-effects	0	, side-effects and	False	False
nauseousness	0	for nauseousness something	False	False
organization	0	European organization for	False	False
consultation	0	a consultation there	False	False
unresponsive	0	fairly unresponsive to	False	False
discriminate	0	not discriminate!	False	False
requirements	0	special requirements )	False	False
radiotherapy	0	stereotaxic radiotherapy (	False	False
self-tanning	0	a self-tanning cream	False	False
contaminated	0	were contaminated at	False	False
conversation	0	this conversation!	False	False
excruciating	0	- excruciating leg	False	False
inflammation	0	lung inflammation?	False	False
northwestern	0	at Northwestern.	False	False
chemotherapy	0	traditional chemotherapy and	False	False
radiosurgery	0	with radiosurgery ``	False	False
mediastunum	0	the mediastunum.	False	False
responsible	0	component responsible.	False	False
information	0	of information as	False	False
encouraging	0	very encouraging to	False	False
moisturizer	0	Regular moisturizer seems	False	False
interesting	0	Interesting ...	True	False
surrounding	0	and surrounding organs	False	False
oncologists	0	other Oncologists there	False	False
overwhelmed	0	am overwhelmed with	False	False
fundraising	0	your fundraising to	False	False
frieinds	1	My frieinds sister	False	False
kontrol	1	CT-scan kontrol in	False	False
husbond	1	my husbond and	False	False
glevac	1	. Glevac for	False	False
toughts	1	my toughts -NAME-	False	False
ededinburh	1	I am in EdEdinburh	True	True
ni	1	can nI get	False	False
gleevac	1	my gleevac or	False	False
tollerate	1	not tollerate anymore	False	False
surgry	1	the surgry was	False	False
mu	1	on mu face	False	False
enought	1	, enought ,	False	False
tims	1	his tims ,	False	False
yeras	1	many yeras later	False	False
gleevac	1	it gleevac brain	False	False
whe	1	'' whe the	False	False
ovarie	1	and ovarie.	False	False
gleevac	1	on gleevac for	False	False
surgerys	1	the surgerys and	False	False
reoccourances	1	the reoccourances i	False	False
ony	1	and ony have	False	False
gleevac	1	with gleevac?	False	False
dan	1	. dan testing	False	False
compleatly	1	it compleatly	False	True
diffinetly	1	is diffinetly improving	False	False
gleevac	1	400mg gleevac for	False	False
-perry-	1	! -Perry- Rectal	False	False
reoccurrance	1	of reoccurrance i	False	False
ussually	1	I ussually do	False	False
wheater	1	sure wheater the	False	False
tsken	1	have tsken Gleevec	False	False
opnion	1	second opnion with	False	False
yaay	1	Yaay congratulations	True	False
exxons	1	multiple Exxons this	False	False
pottasium	1	my pottasium was	False	False
esle	1	anyone esle reading	False	False
helle	1	Helle.	True	False
annonse	1	if annonse van	False	False
tur	1	abort tur sideeffects	False	False
gleevac	1	started gleevac in	False	False
sicky	1	feel sicky if	False	False
explane	1	to explane to	False	False
oncolgy	1	Davis Oncolgy as	False	False
suspious	1	are suspious spots	False	False
gleevic	1	Gleevic did	True	False
diagosed	1	just diagosed in	False	False
rnumerous	1	have rnumerous regular	False	False
resectected	1	have resectected stomachs	False	False
metastisized	1	not metastisized.	False	False
sutant	1	and Sutant.	False	False
