	id	sent	Mistake	Correction	Split	Label_type	Relevant text extraction
48	effexorxr.116_1	not really my self sex drive gone sad things can happen and my tears arent there,my weight gain over the years (5 yrs) 60 lbs now im dibetic and my cholestrol is high in part from being so lazy now from taking this med tried to wean off and i cant do it the side effects are horrible dizzy,my eyes dont work right, nausea.	cholestrol	cholesterol	0	ADR	cholestrol is high
49	effexorxr.139_1	mild insomnia, poor interactions with alchohol.	alchohol	alcohol	0	ADR	poor interactions with alchohol
50	effexorxr.155_6	I've also lost about 30lbs 240 down to 210lbs (Not that I complaining on that one).	30lbs	30 lbs	1	ADR	lost about 30lbs
51	effexorxr.177_3	pupils were hugely enlarged, clenching my jaw alot, suffering alot of dreaming i never use to.	alot	a lot	1	ADR	alot of dreaming
52	effexorxr.177_3	pupils were hugely enlarged, clenching my jaw alot, suffering alot of dreaming i never use to.	alot	a lot	1	ADR	clenching my jaw alot
53	effexorxr.177_4	sleeping alot about 12hours a day, coffee doesnt keep me awake anymore.	alot	a lot	1	ADR	sleeping alot
54	effexorxr.177_5	have experinced headaches alot when i wake up mainly, increased appiette, weight gain of course.	alot	a lot	1	ADR	headaches alot
55	effexorxr.200_1	Nausea, Insomnia, Loss of appetite, Dizziness, Dry mouth, Increased sweating, Constipation, Abnormal dreams, Weight loss, High blood pressure, Flushing, Abdominal pain, Twitching, Inability to sit still, A rapid heart rate, Fever, sweating, or shivering, Coughing, Extreme confusion, High cholesterol, hermorrhoids, Liver problems, A decreased sex drive,, My Dr. tried every medication and nothing worked, until he put me on Effexor XR.	hermorrhoids	hemorrhoids	0	ADR	hermorrhoids
56	effexorxr.144_3	My moods are stable, but I'm now mildly and continously depressed because of the two main side effects - lack of libido and bad night sweats.	continously	continuously	0	ADR	mildly and continously depressed
57	effexorxr.109_3	Dosed at 35 to start, have built up to 225)  I started out taking Xanax to battle my insominia, but it didn't do much.	insominia	insomnia	0	ADR	insominia
58	effexorxr.75_4	I have never had stomacal problems prior to efexor until now so I am goin to stop taking it but taping it down I let you know how I recover from my ulcer and the other side effects.	stomacal	stomach	0	ADR	stomacal ulcer
59	lexapro.134_5	I experienced minor headaches, dizzienes and nausea for about 3 weeks period after my final 5mg.	dizzienes	dizziness	0	WD	dizzienes
60	cymbalta.52_6	extreme muscle fatigue and muscle cramping and elevated liver enyzmes (no pre-existing liver damage or alcohol use/abuse,) just to name a few.	enyzmes	enzymes	0	WD	elevated liver enyzmes
61	cymbalta.91_5	I'm stepping down slowly and even doing that, I've experienced dizzyness, headaches.	dizzyness	dizziness	0	WD	dizzyness
62	effexorxr.81_1	Strange side effects trying to get off Effexor: heart pounding, dizzyness, sleep disturbance.	dizzyness	dizziness	0	WD	dizzyness
63	effexorxr.45_5	Even tapering the drug, I have had SEVERE dizzines and SEVERE nausea.	dizzines	dizziness	0	WD	SEVERE dizzines
64	zoloft.143_1	increased migraine and headaches frequency (went from very rarely to frequently), vomitting, nausea, initially constipated then just diarrhea, disturbing twitching while trying to fall asleep, not the usual twitching, very dry mouth, loss of libido ( got better when I decreased from 150mg to 100 mg after 3 months), also have occasional yawnitis as I call it which was worse in the beginning, also had terrible motion sickness I have never had before from flying, alot of dizziness if I forget my dose after just an hour since I decreased to 100mg a month ago, irritability, fall asleep at work sometimes lasting all day, somewhat better after taking the medicine at noontime, waking up in the middle of the night is completely resolved since taking the meds at noontime rather than before bed, definitely I am not losing weight, had panic attacks and that weird tingly feeling for first 2 weeks but these went away.	alot	a lot	1	WD	alot of dizziness
65	effexorxr.99_4	Vertigo, nausea, muscle aches, flu-like symptoms, diarreha.	diarreha	diarrhea	0	WD	diarreha
66	effexorxr.181_10	I feel nauseous alot and my depression and social anxiety has returned almost 100%.	alot	a lot	1	WD	nauseous alot
67	effexorxr.226_5	A missed dosage causes symptons like the flu which will last for a couple of days.	symptons	symptoms	0	WD	symptons like the flu
68	effexorxr.199_1	"inability to reach orgasm, but only for a short time when first startted and when upped dosage, weird ""brain zaps"" others mention and vivid dreams when miss a dose, inability to get off it due to withdrawl symptoms - physical and emotional, but I was only trying to get off to start another antidepressant, so didn't really have to get off it."	withdrawl	withdrawal	0	WD	withdrawl physical
69	effexorxr.175_6	The nighmares and the sickness that goes with it are terrible besides the symptoms you had to begin with.	nighmares	nightmares	0	WD	nighmares
70	effexorxr.175_10	The nighmares are the worst for me.	nighmares	nightmares	0	WD	nighmares
71	lexapro.187_3	Helped not only with the issues I was immediately experiencing (extreme panic and hypochondria) but long-standing social anxiey and obsessive thoughts have also been relieved.	anxiey	anxiety	0	DI	social anxiey
72	zoloft.164_2	It resolved my depession.	depession	depression	0	DI	depession
74	cymbalta.227_5	Since switching to Cymbalta, my depression & anxiey are very well managed.	anxiey	anxiety	0	DI	anxiey
75	cymbalta.229_4	Muscle pain from fibromalgia is reduced.	fibromalgia	fibromyalgia	0	DI	fibromalgia
76	effexorxr.226_8	Able to handle stress better and to look at the bigger picture before I would just jump off the deap end.	deap	deep	0	DI	jump off the deap end
77	cymbalta.98_7	Also, it seems as though this drug isn't a great treatment for anything other than depression/axiety.	axiety	anxiety	0	SSI	axiety
78	effexorxr.214_3	Was second in charge of big motor company for 23 years when i got anxienty / depression , eventually couldn't function etc & ended in a heap , was on & off many different types of drugs & then 2 years later ended up in mental hospital .	anxienty	anxiety	0	SSI	anxienty
80	cymbalta.208_6	CHEST PAINS STARTED TO GO AWAY, MY BREATHING RETURNED TO NORMAL, WASNT CONSTANLY WORRYING ABOUT MY HEALTH AND NOW AFTER 3 WEEKS OF TAKING IT I FEEL GREAT.	constanly	constantly	0	SSI	constanly worrying about my health
